Topic,Count,Name,Representation,Representative_Docs
-1,243,-1_chars_2023_new_nov,"['chars', '2023', 'new', 'nov', 'newswire', 'globe', 'report', 'us', 'market', 'company']","['Artificial Intelligence Defense Market Growth Hit 11.7% CAGR, Globally, 2028 - Exclusive Report Insight Partners Pune, India, Nov. 08, 2023 (GLOBE NEWSWIRE) -- According new report Artificial Intelligence Defense Market Size Forecast (20232028), Global Regional Share, Trends, Growth Opp… [+7504 chars]', 'Middle East Africa Data Center Colocation Market Outlook Report 2023: $3.37 Billion Market 2028 - Shift On-Premises Infrastructure Colocation & Managed Services Bolsters Growth Dublin, Nov. 08, 2023 (GLOBE NEWSWIRE) -- ""Middle East Africa Data Center Colocation Market - Industry Outlook &amp; Forecast 2023-2028"" report added ResearchAndMarkets.com\'s offe… [+11850 chars]', 'Fintech Holding Limited Report Third Quarter 2023 Financial Results November 27, 2023 SINGAPORE, Nov. 14, 2023 (GLOBE NEWSWIRE) -- Fintech Holding Limited (UP Fintech Company) (NASDAQ: TIGR), leading online brokerage firm focusing global investors, today announced … [+2373 chars]']"
0,178,0_inc_quarter_shares_according,"['inc', 'quarter', 'shares', 'according', 'recent', 'position', 'llc', 'free', 'holdings', 'report']","['Principal Financial Group Inc. Lowers Stock Holdings ExlService Holdings, Inc. (NASDAQ:EXLS) Principal Financial Group Inc. decreased position shares ExlService Holdings, Inc. (NASDAQ:EXLS – Free Report) 1.9% second quarter, according recent disclosure wit… [+5246 chars]', 'New York Life Investment Management LLC Purchases Shares 33,458 Amedisys, Inc. (NASDAQ:AMED) New York Life Investment Management LLC acquired new position Amedisys, Inc. (NASDAQ:AMED – Free Report) second quarter, according company recent Form 13F filing wi… [+4839 chars]', 'LPL Financial Holdings Inc. (NASDAQ:LPLA) Shares Sold Moran Wealth Management LLC Moran Wealth Management LLC decreased holdings shares LPL Financial Holdings Inc. (NASDAQ:LPLA – Free Report) 3.6% second quarter, according recent filing the… [+6967 chars]']"
1,69,1_gaza_israel_israeli_hamas,"['gaza', 'israel', 'israeli', 'hamas', 'said', 'hospital', 'chars', 'us', 'iran', 'ceasefire']","['israel-hamas war: list key events, day 23 situation Monday, October 30, 2023: Latest developments <ul><li>Israeli forces said offensive second stage clashed Hamas fighters northern Gaza while… [+4270 chars]', ""israel's military tools take hamas' new drone arsenal, actually using may easy drone used Hamas hovers rally Gaza City March 2014.SAID KHATIB/AFP via Getty Images <ul> <li>Israel poised launch ground operation Gaza Strip following attack … [+6340 chars]"", 'Israel-Hamas: UN, US condemn school attack, deaths hit 14,000 Gazas Hamas government said Sunday death toll fighting Israeli troops Hamas militants Palestinian territory reached 13,000 since war began October 7. Hama… [+3279 chars]']"
2,65,2_ukraine_president_russian_russia,"['ukraine', 'president', 'russian', 'russia', 'defense', 'chars', 'security', 'us', 'military', 'ukrainian']","[""russian president putin arrives kyrgyzstan rare trip abroad Russia's top security official visits Azerbaijan, meets presidentRussia's top security official close ally Russian President Vladimir Putin, Nikolai Patrushev met Azerbaijani President Ilham… [+164 chars]"", 'putin says ukraine would last ‘a week’ western military support stops Russian President Vladimir Putin said Ukraine could survive week without Western military financial aid, claim made day European Union official warned … [+3866 chars]', ""ukraine's zelenskyy nato defense ministers meeting seeking support fight russia BRUSSELS -- Ukraine President Volodymyr Zelenskyy arrived NATO Wednesday's meetings alliance defense ministers drum support Ukraines fight Russia. impo… [+2245 chars]""]"
3,36,3_climate_cop28_gas_antarctic,"['climate', 'cop28', 'gas', 'antarctic', 'chars', 'methane', 'emissions', 'storm', 'change', 'study']","['climate \'loss damage\' talks end failure crucial meeting climate ""loss damages"" ahead COP28 ended failure Saturday, countries global north south unable reach agreement, according sources involved in… [+2419 chars]', 'australia rejoin global climate fund abandoned 2018 Australia announced rejoin United Nations climate fund set help poorer countries deal challenges heating planet ahead key donor conference. Green Climate… [+2721 chars]', 'COP28 must repeat mistakes Africa Climate Summit late November, 2023 United Nations Climate Change Conference (COP28) launched Dubai. Coming end year broke multiple heat records, event supposed set … [+4887 chars]']"
4,36,4_movies_movie_film_chars,"['movies', 'movie', 'film', 'chars', 'doctor', 'one', 'news', 'show', 'play', 'game']","['johnny depp animated movie ‘johnny puff: secret mission’ seals deals ahead 2024 release; images, trailer revealed EXCLUSIVE: Johnny Depp animated movie Johnny Puff: Secret Mission sold German-speaking Europe (Little Brother), Korea (AK Entertainment), Spain (Melies), Portugal (NOS Audiovisuais), Middle Ea… [+1445 chars]', ""David Tennant celebrates 400th anniversary Shakespeare's First Folio Media caption, David Tennant performs Macbeth soliloquy David Tennant bounds room, friendly, super articulate energetic. actor Doctor favourite, regularly voted best Do… [+9588 chars]"", 'Daisy Ridley Teases Unexpected Star Wars Movie David Tennant teases wild climax Doctor anniversary specials. Get new look Colin Farrells return Penguin. Muppets Mayhem more, Black Mirror returns more. P… [+3213 chars]']"
5,33,5_cup_world_cricket_india,"['cup', 'world', 'cricket', 'india', 'team', 'match', '2023', 'list', 'pakistan', 'africa']","[""IND vs SA ICC ODI World Cup: India opt bat South Africa India's captain Rohit Sharma toss chose bat high-stakes World Cup match South Africa. Indian team, sole undefeated squad competition, remains una… [+507 chars]"", 'pakistan vs south africa: icc cricket world cup 2023 match preview Who: Pakistan vs South Africa When: Friday, October 27, 2pm (08:30 GMT) list 3 itemslist 1 3 list 2 3 list 3 3 end list Where: Chidambaram Stadium, Chennai, India Underperfor… [+3303 chars]', 'India vs Australia: billion heartbreaks India lose ICC 2023 World Cup final Millions Indians nursing broken hearts national cricket team lost Australia World Cup final Sunday. Australia, lifted World Cup six times, six w… [+2810 chars]']"
6,32,6_market_billion_cagr_usd,"['market', 'billion', 'cagr', 'usd', 'newswire', 'globe', 'size', '2023', 'nov', 'global']","['Global Adhesive Tapes Market Size Worth USD 95.6 Billion 2032 | CAGR 6.5% New York, United States, Nov. 07, 2023 (GLOBE NEWSWIRE) -- Global Adhesive Tapes Market Size Grow USD 59.4 Billion 2022 USD 95.6 Billion 2032, Compound Annual Growth Rate (C… [+13766 chars]', 'Geosynthetics Market Worth USD 40.7 billion 2031: Exclusive Report Transparency Market Research Wilmington, Delaware, United States, Nov. 16, 2023 (GLOBE NEWSWIRE) -- Transparency Market Research Inc. - market geosynthetics worth US$ 16.1 billion 2020. CAGR 8.8% predicted… [+8850 chars]', 'Helium Market Size Worth USD 3.9 billion 2031, Notable CAGR 4.1%| Transparency Market Research, Inc. Wilmington, Delaware, United States, Nov. 23, 2023 (GLOBE NEWSWIRE) -- Transparency Market Research Inc. - global helium market projected flourish CAGR 4.1% 2023 2031. pe… [+7292 chars]']"
7,30,7_deposit_interest_amount_inflation,"['deposit', 'interest', 'amount', 'inflation', 'per', 'imports', 'calculate', 'calculator', 'fd', 'investing']","['adani green talks banks $1.8 billion loan FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate', ""Russian oil shaves India's import costs $2.7 billion FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate"", 'HSBC track meet China wealth hiring target despite economic headwinds FD Calculator investing fixed deposit, amount deposit earns interest per prevailing... Calculate']"
8,30,8_sam_congress_mp_bjp,"['sam', 'congress', 'mp', 'bjp', 'vicky', 'assembly', 'manekshaw', 'bahadur', 'hindu', 'kaushal']","['Vicky Kaushal rallies troops battle Sam Bahadur’s first song Badhte Chalo. Watch Following electrifying trailer, creators Sam Bahadur unveiled film’s first song, “Badhte Chalo”. Featuring Vicky Kaushalin role Field Marshal Sam Manekshaw, song st… [+1417 chars]', ""'It Danish Ali ... ': BJP MP Nishikant Dubey claims 'friends' Mahua Moitra 'cheerharan' Sam Manekshaw, Indian Army Officer Vicky Kaushal playing Sam Bahadur?"", 'Rajasthan assembly elections: Blow Congress former minister, MLA join saffron party; BJP targets Ashok Gehlot Dausa rape incident Sam Manekshaw, Indian Army Officer Vicky Kaushal playing Sam Bahadur?']"
